pokemon,url,pokedex_num,elem_1,elem_2,species,height_meters,weight_kg,male,female,hp,attack,defense,sp_atk,sp_def,speed,total
Bulbasaur,https://pokemondb.net/pokedex/bulbasaur,0001,Grass,Poison,Seed Pokémon,0.7,6.9,87.5,12.5,45,49,49,65,65,45,318
Ivysaur,https://pokemondb.net/pokedex/ivysaur,0002,Grass,Poison,Seed Pokémon,1,13,87.5,12.5,60,62,63,80,80,60,405
Venusaur,https://pokemondb.net/pokedex/venusaur,0003,Grass,Poison,Seed Pokémon,2,100,87.5,12.5,80,82,83,100,100,80,525
Charmander,https://pokemondb.net/pokedex/charmander,0004,Fire,,Lizard Pokémon,0.6,8.5,87.5,12.5,39,52,43,60,50,65,309
Charmeleon,https://pokemondb.net/pokedex/charmeleon,0005,Fire,,Flame Pokémon,1.1,19,87.5,12.5,58,64,58,80,65,80,405
Charizard,https://pokemondb.net/pokedex/charizard,0006,Fire,Flying,Flame Pokémon,1.7,90.5,87.5,12.5,78,84,78,109,85,100,534
Squirtle,https://pokemondb.net/pokedex/squirtle,0007,Water,,Tiny Turtle Pokémon,0.5,9,87.5,12.5,44,48,65,50,64,43,314
Wartortle,https://pokemondb.net/pokedex/wartortle,0008,Water,,Turtle Pokémon,1,22.5,87.5,12.5,59,63,80,65,80,58,405
Blastoise,https://pokemondb.net/pokedex/blastoise,0009,Water,,Shellfish Pokémon,1.6,85.5,87.5,12.5,79,83,100,85,105,78,530
Caterpie,https://pokemondb.net/pokedex/caterpie,0010,Bug,,Worm Pokémon,0.3,2.9,50,50,45,30,35,20,20,45,195
Metapod,https://pokemondb.net/pokedex/metapod,0011,Bug,,Cocoon Pokémon,0.7,9.9,50,50,50,20,55,25,25,30,205
Butterfree,https://pokemondb.net/pokedex/butterfree,0012,Bug,Flying,Butterfly Pokémon,1.1,32,50,50,60,45,50,90,80,70,395
Weedle,https://pokemondb.net/pokedex/weedle,0013,Bug,Poison,Hairy Bug Pokémon,0.3,3.2,50,50,40,35,30,20,20,50,195
Kakuna,https://pokemondb.net/pokedex/kakuna,0014,Bug,Poison,Cocoon Pokémon,0.6,10,50,50,45,25,50,25,25,35,205
Beedrill,https://pokemondb.net/pokedex/beedrill,0015,Bug,Poison,Poison Bee Pokémon,1,29.5,50,50,65,90,40,45,80,75,395
Pidgey,https://pokemondb.net/pokedex/pidgey,0016,Normal,Flying,Tiny Bird Pokémon,0.3,1.8,50,50,40,45,40,35,35,56,251
Pidgeotto,https://pokemondb.net/pokedex/pidgeotto,0017,Normal,Flying,Bird Pokémon,1.1,30,50,50,63,60,55,50,50,71,349
Pidgeot,https://pokemondb.net/pokedex/pidgeot,0018,Normal,Flying,Bird Pokémon,1.5,39.5,50,50,83,80,75,70,70,101,479
Rattata,https://pokemondb.net/pokedex/rattata,0019,Normal,,Mouse Pokémon,0.3,3.5,50,50,30,56,35,25,35,72,253
Raticate,https://pokemondb.net/pokedex/raticate,0020,Normal,,Mouse Pokémon,0.7,18.5,50,50,55,81,60,50,70,97,413
Spearow,https://pokemondb.net/pokedex/spearow,0021,Normal,Flying,Tiny Bird Pokémon,0.3,2,50,50,40,60,30,31,31,70,262
Fearow,https://pokemondb.net/pokedex/fearow,0022,Normal,Flying,Beak Pokémon,1.2,38,50,50,65,90,65,61,61,100,442
Ekans,https://pokemondb.net/pokedex/ekans,0023,Poison,,Snake Pokémon,2,6.9,50,50,35,60,44,40,54,55,288
Arbok,https://pokemondb.net/pokedex/arbok,0024,Poison,,Cobra Pokémon,3.5,65,50,50,60,95,69,65,79,80,448
Pikachu,https://pokemondb.net/pokedex/pikachu,0025,Electric,,Mouse Pokémon,0.4,6,50,50,35,55,40,50,50,90,320
Raichu,https://pokemondb.net/pokedex/raichu,0026,Electric,,Mouse Pokémon,0.8,30,50,50,60,90,55,90,80,110,485
Sandshrew,https://pokemondb.net/pokedex/sandshrew,0027,Ground,,Mouse Pokémon,0.6,12,50,50,50,75,85,20,30,40,300
Sandslash,https://pokemondb.net/pokedex/sandslash,0028,Ground,,Mouse Pokémon,1,29.5,50,50,75,100,110,45,55,65,450
Nidorina,https://pokemondb.net/pokedex/nidorina,0030,Poison,,Poison Pin Pokémon,0.8,20,0,100,70,62,67,55,55,56,365
Nidoqueen,https://pokemondb.net/pokedex/nidoqueen,0031,Poison,Ground,Drill Pokémon,1.3,60,0,100,90,92,87,75,85,76,505
Nidorino,https://pokemondb.net/pokedex/nidorino,0033,Poison,,Poison Pin Pokémon,0.9,19.5,100,0,61,72,57,55,55,65,365
Nidoking,https://pokemondb.net/pokedex/nidoking,0034,Poison,Ground,Drill Pokémon,1.4,62,100,0,81,102,77,85,75,85,505
Clefairy,https://pokemondb.net/pokedex/clefairy,0035,Fairy,,Fairy Pokémon,0.6,7.5,25,75,70,45,48,60,65,35,323
